Codice_Ponte,Numero_Zucchetta,Nome_Ponte,Segmento,Nome_Rio,Isola_Nord,Isola_Sud,Sestiere_Nord,Sestiere_Sud
GARIBAL,160,Ponte Novo va in Via Garibaldi,ANA3,Rio de la Tana,100,103,CS,CS
GERO_P1,161,Ponte Privato - Passerella,GERO,Rio de S. Gerolamo,99,100,CS,CS
GIOACHIN,162,Ponte S. Gioachin,ANA2,Rio de S. Ana,100,103,CS,CS
ANA,163,Ponte S. Ana,ANA1,Rio de S. Ana,101,103,CS,CS
RIELO,164,Ponte Rielo,DANI,Rio de San Daniel,101,100,CS,CS
DANIEL,165,Ponte S. Daniel,DANI,Rio de San Daniel,100,101,CS,CS
DOMENE,166,Ponte S. Domenego,ISEP2,Rio de S. Isepo,103,104,CS,CS
GIARDINI,167,Ponte dei Giardini,ISEP2,Rio de S. Isepo,103,104,CS,CS
ISEPO,168,Ponte S. Isepo,ISEP1,Rio de S. Isepo,103,104,CS,CS
ISEP_P2,169,Ponte Privato v‡ al civico 784/,ISEP1,Rio de S. Isepo,103,104,CS,CS
ISEP_P1,170,Ponte Privato v‡ al civico 787,ISEP1,Rio de S. Isepo,103,104,CS,CS
POMPIERI,171,Ponte dei Pompieri di S.Elena,GIAR2,Rio dei Giardini,104,105,CS,CS
BIENNAL,172,Ponte Privato della Biennale,GIAR2,Rio dei Giardini,104,105,CS,CS
PALUDO,173,Ponte del Paludo,GIAR2,Rio dei Giardini,104,105,CS,CS
QUINTA,174,Ponte de Quintavale,PIER2,Canal de S. Piero,102,103,CS,CS
PIERO,175,Ponte S. Piero,PIER2,Canal de S. Piero,101,102,CS,CS
MOROSINI,176,Ponte Privato del Collegio Navale,ELEN,Rio de S. Elena,106,105,CS,CS
ELENA,177,Ponte de S.Elena (Chiesa),ELEN,Rio de S. Elena,106,105,CS,CS
STADIO2,178,Ponte 2 dello Stadio,ELEN,Rio de S. Elena,106,105,CS,CS
DIPORTO,179,Ponte del Diporto Velico,ELEN,Rio de S. Elena,106,105,CS,CS
PANA3_P1,180,Ponte Privato v‡ al civico 6104,PANA3,Rio de la Panada,70,65,CN,CN
ERBE,181,Ponte de le Erbe,PANA3,Rio de la Panada,70,65,CN,CN
PANADA,182,Ponte de la Panada,PANA2,Rio de la Panada,61,65,CN,CN
PANAD2,183,Ponte Panada,FNUO4,Rio de la Panada,61,65,CN,CN
GRISOS,184,Ponte S.G.Grisostomo,GRIS1,Rio de S.Giovanni Grisostomo,69,71,CN,CN
GRIS_ P1,185,Ponte Privato Teatro Malibran 1,GRIS2,Rio de S.Giovanni Grisostomo,69,71,CN,CN
GRIS_P2,186,Ponte Privato Teatro Malibran 2,GRIS2,Rio de S.Giovanni Grisostomo,69,71,CN,CN
MIRACO,187,Ponte dei Miracoli,MIRA,Rio dei Miracoli,69,70,CN,CN
MARNOV,188,Ponte S. Maria Nova,MIRA,Rio dei Miracoli,69,70,CN,CN
PIOVAN,189,Ponte del Piovan o del Volto,WIDM2,Rio Widman,61,69,CN,CN
WIDMAN,190,Ponte Widmann,WIDM1,Rio Widman,61,69,CN,CN
WIDM1_P1,191,Ponte Privato v‡ al civico 5514,WIDM1,Rio Widman,61,69,CN,CN
NORIS,192,Ponte Noris,WIDM1,Rio Widman,61,69,CN,CN
APOSTOl,193,Ponte SS.Apostoli,APOS4,Rio dei Ss. Apostoli,64,69,CN,CN
CANZIAN,194,Ponte S.Canzian,APOS3,Rio dei Ss. Apostoli,64,69,CN,CN
GIUSTN,195,Ponte Giustinian,APOS2,Rio dei Ss. Apostoli,64,61,CN,CN
AQUAVIV,196,Ponte de l'Acquaviva,GESU2,Rio dei Gesuiti,60,61,CN,CN
DONA,197,Ponte Don‡,GESU1,Rio dei Gesuiti,57,61,CN,CN
GESUIT,198,Ponte dei Gesuiti,CATE3,Rio de S. Caterina,57,60,CN,CN
CATERIN,199,Ponte S.Caterina,CATE2,Rio de S. Caterina,57,59,CN,CN
MOLIN,200,Ponte Molin de la Racheta,CATE1,Rio de S. Caterina,57,58,CN,CN
SARTRI,201,Ponte dei Sartori,GOZZ,Rio del Gozzi,60,64,CN,CN
ANDREA,202,Ponte S. Andrea,ANDR2,Rio de S. Andrea,59,63,CN,CN
CORREN,203,Ponte Corrente,ANDR1,Rio de S. Andrea,59,62,CN,CN
PRIUL2,204,Ponte Priuli,PRIU2,Rio Priuli,62,64,CN,CN
VELE,205,Ponte de le Vele,PRIU2,Rio Priuli,62,64,CN,CN
PRIULI,206,Ponte Priuli,PRIU1,Rio Priuli,58,64,CN,CN
2POZZI,207,Ponte Piano (senza nome) va in Ruga,PRIU2,Rio Priuli,62,63,CN,CN
RACH1_P1,208,Ponte Privato v‡ al civico 3777,RACH1,Rio de la Racheta,58,59,CN,CN
FELICE,209,Ponte Novo S.Felice,FELI2,Rio de S. Felice,18,64,CN,CN
BELLI,210,Ponte Ubaldo Belli,FELI2,Rio de S. Felice,18,64,CN,CN
RACHET,211,Ponte de la Racheta,FELI1,Rio de S. Felice,18,64,CN,CN
CHIODO_P1,212,"Ponte Privato, 3750 (P. Chiodo",FELI1,Rio de S. Felice,18,64,CN,CN
PASQU2,213,Ponte Pasqualigo,NOAL4,Rio de Noal,17,18,CN,CN
MISERI,214,Ponte de la Misericodia,NOAL1,Rio de Noal,9,18,CN,CN
OGIO,215,Ponte de l'Ogio,MADA,Rio de la Madalena,16,17,CN,CN
