"id","polygon"
"2172","LINESTRING (12.348882310590527 45.435145559008504, 12.348955963929496 45.434854740876915)"
"2173","LINESTRING (12.348266837720809 45.43653562350797, 12.34852100341025 45.436694996662276)"
"2174","LINESTRING (12.34864897105518 45.43463845760164, 12.348702087693024 45.434343197338855)"
"2175","LINESTRING (12.348448819219808 45.43382468756587, 12.348239716625365 45.433609568749866)"
"2176","LINESTRING (12.345803329647362 45.43649491840936, 12.345874201976946 45.43678642675041)"
"2177","LINESTRING (12.345857360817357 45.437282972655176, 12.345783804038723 45.437573815224816)"
"2178","LINESTRING (12.33839977762459 45.44055497230636, 12.338593359404426 45.44078415802693)"
"2179","LINESTRING (12.33954308405299 45.439858730314896, 12.339682154041691 45.439592911695826)"
"2180","LINESTRING (12.33962729000731 45.43963816859394, 12.33991482120371 45.43955257764174)"
"2181","LINESTRING (12.359191630069184 45.4284357809475, 12.35910973131606 45.428147176383725)"
"2182","LINESTRING (12.354551807593754 45.43006960830019, 12.354802908650765 45.430233767549595)"
"2183","LINESTRING (12.355126452444694 45.43027479366073, 12.355424196200897 45.43031151770792)"
"2184","LINESTRING (12.32292528341099 45.43758052758281, 12.323134680869286 45.43736569577777)"
"3034","LINESTRING (12.348304389586403 45.46068734725799, 12.348603487177765 45.460710598727644)"
"3035","LINESTRING (12.351792700002461 45.460676321745375, 12.352075549440771 45.46057634077095)"
"3036","LINESTRING (12.353496337865256 45.46045611217248, 12.353793234230988 45.46049915340869)"
"3037","LINESTRING (12.35474368011624 45.460429403668655, 12.354957688195295 45.46021916441899)"
"3038","LINESTRING (12.355260613251096 45.45965550248389, 12.35534955369255 45.45936898966067)"
"3039","LINESTRING (12.356303568352269 45.45869554377194, 12.35658690316002 45.458596946679094)"
"3040","LINESTRING (12.357545271180133 45.45815851417235, 12.35773734601602 45.457928064053185)"
"3041","LINESTRING (12.35837256579731 45.45784860354214, 12.358669928960303 45.45788829169269)"
"3042","LINESTRING (12.359633100980341 45.45874905195814, 12.35978152779695 45.45900976152856)"
"3043","LINESTRING (12.349148374054218 45.457692755483684, 12.349446360993083 45.45772745107801)"
"3044","LINESTRING (12.347426565790363 45.45480025416677, 12.347702061246098 45.45491900707776)"
"3045","LINESTRING (12.348467355229088 45.456293061309594, 12.348443234499692 45.45659209005473)"
"3046","LINESTRING (12.356653271667929 45.45618392003054, 12.356897075089227 45.45635873390803)"
"3047","LINESTRING (12.357591158413566 45.457123823962654, 12.357705049402053 45.45740136466731)"
"3048","LINESTRING (12.415604865657116 45.4856902820841, 12.415796234696806 45.485921318641054)"
"3049","LINESTRING (12.416402171468386 45.48610049981885, 12.41670005321105 45.48606491235777)"
"3050","LINESTRING (12.417570321578491 45.48595433106649, 12.41779485448453 45.486153290796345)"
"3051","LINESTRING (12.417905346592335 45.486668539005166, 12.417868671806673 45.4869662888332)"
"3052","LINESTRING (12.420118466281144 45.484670329829626, 12.419854744588408 45.48452732329558)"
