id,lung,sup,rtr,id_nodo1,id_nodo2,venezia,cementificato,prof_md1,data1,prof_md2,data2,prof_md3,data3
2125,148.38,2000.42,F,285,158,T,T,-2.15,2000/12/23,-1.15,2002/12/18,0.00,
2126,169.04,745.16,F,286,139,T,F,-0.73,1997/10/29,-1.27,2002/12/18,0.00,
2127,59.09,294.37,F,331,196,T,T,-0.93,1995/06/28,-1.12,2003/02/20,0.00,
2128,110.56,595.70,F,331,182,T,T,-0.86,1995/06/28,-1.25,2003/02/20,0.00,
2129,42.76,177.33,F,330,198,T,F,0.00,,-0.97,2003/02/20,0.00,
2130,43.25,160.06,F,198,327,T,F,0.00,,-1.03,2003/02/20,0.00,
2131,38.17,140.81,F,328,327,T,F,0.00,,-1.06,2003/02/20,0.00,
2132,43.34,247.87,F,194,339,T,F,-1.67,1999/04/26,0.00,,0.00,
2133,24.81,115.21,F,329,208,T,T,-1.03,1995/05/08,-1.71,2003/02/20,0.00,
2134,21.55,187.23,F,174,342,T,F,-1.58,2000/10/20,-1.52,2003/02/20,0.00,
2135,80.94,460.61,F,159,342,T,F,-1.38,2000/10/20,-1.39,2003/02/20,0.00,
2136,30.74,134.86,F,341,183,T,F,-0.83,2000/10/20,-0.68,2003/02/20,0.00,
2137,38.38,214.55,F,340,341,T,F,-0.89,2000/10/20,-0.69,2003/02/20,0.00,
2138,61.68,316.06,F,340,160,T,F,-1.01,2000/10/20,-0.91,2003/02/20,0.00,
2139,54.64,384.91,F,306,143,T,F,0.00,,0.00,,0.00,
2140,38.88,352.90,F,306,307,T,F,-1.80,1998/01/01,0.00,,0.00,
2141,81.83,771.87,F,308,307,T,F,-1.61,1998/01/01,0.00,,0.00,
2142,26.02,225.81,F,308,153,T,F,-1.59,1998/01/01,0.00,,0.00,
2143,67.05,276.18,F,310,145,T,F,-0.42,,-1.43,2002/12/18,0.00,
2144,29.30,149.73,F,310,311,T,F,-0.16,,-1.40,2002/12/18,0.00,
2145,112.23,492.98,F,311,166,T,F,-0.11,,-1.29,2002/12/18,0.00,
2146,47.71,269.25,F,313,166,T,F,-0.74,1998/09/01,-0.95,2002/12/18,0.00,
2147,15.80,71.43,F,312,313,T,F,-1.00,1998/09/01,0.00,,0.00,
2148,172.15,1026.60,F,202,312,T,F,-1.04,1998/09/01,-1.29,2002/12/18,0.00,
2149,140.27,761.64,T,431,183,T,F,0.00,,0.00,,0.00,
2150,46.23,303.74,F,314,164,T,F,-0.83,,0.00,,0.00,
2151,157.93,1414.64,F,314,131,T,F,-0.88,,0.00,,0.00,
2152,74.25,633.99,F,309,145,T,F,-1.63,1998/01/01,-1.76,2002/12/18,0.00,
2153,59.52,538.90,F,309,126,T,F,0.00,,-1.50,2002/12/18,0.00,
2154,16.53,65.88,F,119,302,T,F,-0.09,,0.00,,0.00,
2155,63.13,254.97,F,301,302,T,F,-0.53,,0.00,,0.00,
2156,20.08,107.72,F,300,301,T,F,-0.79,,0.00,,0.00,
2157,155.11,1356.52,F,305,112,T,F,-1.60,1998/01/01,0.00,,0.00,
2158,43.74,399.86,F,305,143,T,F,-1.60,1998/01/01,0.00,,0.00,
2159,64.26,913.39,F,317,99,T,F,-1.27,2000/09/28,0.00,,0.00,
2160,60.02,594.84,F,317,117,T,F,-1.39,2000/09/28,0.00,,0.00,
2161,182.61,1515.16,F,343,121,T,F,-1.46,2002/02/25,-1.50,2002/12/18,0.00,
2162,114.69,968.63,F,343,136,T,F,0.00,,-1.45,2002/12/18,0.00,
2163,75.45,1094.99,F,322,181,T,F,-1.23,2000/10/20,-1.30,2002/12/18,0.00,
2164,267.87,2616.41,F,322,217,T,F,-1.21,2000/10/20,-1.34,2002/12/18,0.00,
2165,213.12,2260.60,F,326,217,T,F,-1.21,2001/07/01,-1.37,2002/12/18,0.00,
2166,134.83,740.64,F,323,184,T,F,-0.79,2000/10/20,-0.81,2002/12/18,0.00,
2167,90.37,504.06,F,323,324,T,F,-0.68,2000/10/20,-0.68,2002/12/18,0.00,
2168,46.88,320.41,F,324,325,T,F,-0.77,2000/10/20,-0.78,2002/12/18,0.00,
2169,35.49,165.82,F,325,232,T,F,-1.07,2000/10/20,-1.04,2002/12/18,0.00,
2170,59.91,572.49,F,318,136,T,F,-1.52,1999/03/31,-1.36,2002/12/18,0.00,
2171,223.45,1284.47,F,318,320,T,F,-0.73,1999/03/31,-0.77,2002/12/18,0.00,
2172,27.92,145.89,F,320,186,T,F,-1.29,1999/03/31,-1.00,2002/12/18,0.00,
2173,202.00,1177.62,F,319,136,T,F,0.00,,-1.42,2002/12/18,0.00,
2174,81.88,641.77,F,321,188,T,F,0.00,,-1.35,2002/12/18,0.00,
2175,109.94,1102.75,F,321,212,T,F,0.00,,-1.57,2002/12/18,0.00,
2176,82.34,855.16,F,316,315,T,F,-1.51,2002/02/25,0.00,,0.00,
2177,95.48,1086.18,F,316,121,T,F,-1.75,2002/02/25,0.00,,0.00,
2178,78.70,712.18,F,69,304,T,F,-1.61,1999/04/23,-1.61,2002/12/18,0.00,
2179,23.37,143.19,F,303,77,T,F,-1.29,1999/04/19,0.00,,0.00,
2180,18.11,140.11,F,303,82,T,F,-1.24,1999/04/19,0.00,,0.00,
2181,200.35,3037.79,F,359,265,T,F,0.00,,0.00,,0.00,
2182,27.23,379.05,F,259,360,T,F,-1.72,2000/10/20,-1.73,2002/12/18,0.00,
2183,74.52,618.48,F,257,360,T,F,-1.27,2000/10/20,-1.28,2002/12/18,0.00,
2184,45.46,225.78,F,289,362,T,F,-0.56,1997/09/08,-1.27,2002/12/18,0.00,
3034,421.26,6126.10,F,1047,1090,F,F,0.00,,0.00,,0.00,
3035,139.01,1931.52,F,1091,1090,F,F,0.00,,0.00,,0.00,
3036,145.71,2124.37,F,1031,1091,F,F,0.00,,0.00,,0.00,
3037,78.14,1327.74,F,1031,1093,F,F,0.00,,0.00,,0.00,
3038,119.73,2510.45,F,1092,1093,F,F,0.00,,0.00,,0.00,
3039,170.10,3969.71,F,1088,1092,F,F,0.00,,0.00,,0.00,
3040,67.76,1223.08,F,1032,1088,F,F,0.00,,0.00,,0.00,
3041,104.91,1250.88,F,1032,1089,F,F,0.00,,0.00,,0.00,
3042,220.97,3519.22,F,1049,1089,F,F,0.00,,0.00,,0.00,
3043,147.93,11293.01,F,1035,1086,F,F,0.00,,0.00,,0.00,
3044,180.25,6899.43,F,1052,1085,F,F,0.00,,0.00,,0.00,
3045,258.07,17683.73,F,1035,1085,F,F,0.00,,0.00,,0.00,
3046,147.34,4040.85,F,1033,1094,F,F,0.00,,0.00,,0.00,
3047,119.80,2656.72,F,1032,1094,F,F,0.00,,0.00,,0.00,
3048,88.58,556.86,F,1082,1095,F,F,0.00,,0.00,,0.00,
3049,89.40,556.48,F,1149,1095,F,F,0.00,,0.00,,0.00,
3050,67.62,482.31,F,1081,1098,F,F,0.00,,0.00,,0.00,
3051,117.22,1063.90,F,1057,1098,F,F,0.00,,0.00,,0.00,
3052,122.95,924.65,F,1096,1097,F,F,0.00,,0.00,,0.00,
3053,61.32,549.37,F,1059,1096,F,F,0.00,,0.00,,0.00,
3054,132.18,2436.20,F,1054,1099,F,F,0.00,,0.00,,0.00,
3055,61.71,518.30,F,1106,1037,F,F,0.00,,0.00,,0.00,
3056,144.75,1146.58,F,1104,1106,F,F,0.00,,0.00,,0.00,
3057,71.88,561.20,F,1104,1105,F,F,0.00,,0.00,,0.00,
3058,245.43,3132.18,F,1105,1038,F,F,0.00,,0.00,,0.00,
3059,241.84,6080.91,F,1107,1038,F,F,0.00,,0.00,,0.00,
3060,161.53,2146.36,F,1107,1108,F,F,0.00,,0.00,,0.00,
3061,332.82,6564.43,F,1068,1108,F,F,0.00,,0.00,,0.00,
3062,227.86,2437.22,F,1064,1102,F,F,0.00,,0.00,,0.00,
3063,222.42,1841.40,F,1102,1036,F,F,0.00,,0.00,,0.00,
3064,103.90,858.45,F,1103,1036,F,F,0.00,,0.00,,0.00,
3065,110.68,916.84,F,1103,1037,F,F,0.00,,0.00,,0.00,
3066,263.91,2490.44,F,1100,1062,F,F,0.00,,0.00,,0.00,
3067,369.31,4110.34,F,1100,1101,F,F,0.00,,0.00,,0.00,
3068,300.62,4230.63,F,1101,1063,F,F,0.00,,0.00,,0.00,
3069,305.52,4913.27,F,1078,1109,F,F,0.00,,0.00,,0.00,
3070,64.18,900.41,F,1109,1111,F,F,0.00,,0.00,,0.00,
3071,113.91,2031.82,F,1110,1111,F,F,0.00,,0.00,,0.00,
3072,237.52,3375.27,F,1041,1110,F,F,0.00,,0.00,,0.00,
3073,47.55,621.45,F,1040,1112,F,F,0.00,,0.00,,0.00,
3074,71.19,1145.41,F,1112,1117,F,F,0.00,,0.00,,0.00,
3075,41.70,571.31,F,1113,1117,F,F,0.00,,0.00,,0.00,
3076,326.65,2544.63,F,1113,1114,F,F,0.00,,0.00,,0.00,
3077,52.84,966.93,F,1114,1116,F,F,0.00,,0.00,,0.00,
3078,55.70,859.57,F,1115,1116,F,F,0.00,,0.00,,0.00,
3079,56.14,632.75,F,1044,1115,F,F,0.00,,0.00,,0.00,
3080,319.22,4032.93,F,1042,1118,F,F,0.00,,0.00,,0.00,
3081,97.47,722.70,F,1043,1119,F,F,0.00,,0.00,,0.00,
3082,35.40,726.70,F,1075,1120,F,F,0.00,,0.00,,0.00,
3083,111.39,2597.29,F,1076,1121,F,F,0.00,,0.00,,0.00,
3084,167.17,5327.13,F,1074,1123,F,F,0.00,,0.00,,0.00,
3085,168.15,2386.62,F,1073,1124,F,F,0.00,,0.00,,0.00,
3086,221.84,2893.70,F,1072,1125,F,F,0.00,,0.00,,0.00,
3087,284.11,4931.09,F,1126,1071,F,F,0.00,,0.00,,0.00,
3088,43.27,1025.83,F,1126,1127,F,F,0.00,,0.00,,0.00,
3089,68.61,937.22,F,1070,1128,F,F,0.00,,0.00,,0.00,
3090,69.24,859.90,F,1069,1129,F,F,0.00,,0.00,,0.00,
3091,289.90,9286.55,F,1083,1133,F,F,0.00,,0.00,,0.00,
3092,57.09,469.08,F,1133,1134,F,F,0.00,,0.00,,0.00,
3093,293.03,11677.00,F,1083,1131,F,F,0.00,,0.00,,0.00,
3094,82.80,787.33,F,1131,1132,F,F,0.00,,0.00,,0.00,
3095,142.50,2485.48,F,1061,1130,F,F,0.00,,0.00,,0.00,
2185,122.42,2389.91,F,107,129,T,F,-1.58,1999/03/24,0.00,,0.00,
2186,73.10,600.48,F,124,129,T,F,-1.42,2000/07/26,0.00,,0.00,
2187,74.09,1097.10,F,129,140,T,F,-1.62,1999/03/24,-2.06,2002/12/18,0.00,
2188,56.42,2223.18,F,140,147,T,F,-1.52,1999/03/24,-1.91,2002/12/18,0.00,
2189,114.93,2480.94,F,147,171,T,F,-1.60,1999/03/24,0.00,,0.00,
2190,175.23,1362.18,F,140,375,T,F,-1.31,2000/07/25,-1.38,2002/12/18,0.00,
2191,167.75,1470.31,F,125,375,T,F,-1.22,2000/07/25,-1.26,2002/12/18,0.00,
2192,68.90,496.66,F,120,125,T,F,-1.20,2000/07/25,-1.70,2002/12/18,0.00,
2193,135.99,2668.30,F,125,378,T,F,-2.52,1999/05/01,-1.76,2002/12/18,0.00,
2194,61.40,957.02,F,378,87,T,F,-2.72,1999/05/01,0.00,,0.00,
2195,186.79,14617.43,F,71,87,T,F,-2.97,1999/11/08,0.00,,0.00,
2196,101.58,2321.11,F,377,71,T,F,-3.28,1999/11/08,0.00,,0.00,
2197,156.60,4451.10,F,89,377,T,F,0.00,,0.00,,0.00,
2198,125.41,5044.35,F,89,107,T,F,0.00,,0.00,,0.00,
2199,170.73,14323.96,F,364,71,T,F,-2.28,1999/11/08,0.00,,0.00,
2200,192.62,13910.56,F,364,42,T,F,-2.30,1999/11/08,0.00,,0.00,
2201,91.00,3709.46,F,80,87,T,F,-2.78,1999/11/08,0.00,,0.00,
2202,87.67,725.62,F,379,61,T,F,-1.73,1998/06/25,-1.46,2002/12/18,0.00,
2203,139.73,1050.93,F,379,380,T,F,-1.36,1998/06/25,-1.59,2002/12/18,0.00,
2204,130.41,1038.22,F,380,91,T,F,-1.25,1998/06/25,-1.51,2002/12/18,0.00,
2205,62.85,455.85,F,290,91,T,F,-0.73,1998/06/01,-1.30,2002/12/18,0.00,
2206,158.06,767.16,F,290,88,T,F,-0.65,1998/06/01,-1.37,2002/12/18,0.00,
2207,70.54,465.18,F,361,88,T,F,-0.50,1998/06/01,-1.23,2002/12/18,0.00,
2208,86.45,436.71,F,289,361,T,F,-0.60,1997/09/08,-1.23,2002/12/18,0.00,
2209,86.41,636.71,F,125,127,T,F,0.00,,0.00,,0.00,
2210,63.96,1299.00,F,125,137,T,F,-2.46,1999/05/01,-1.45,2002/12/18,0.00,
2211,93.22,820.61,F,296,127,T,F,0.00,,0.00,,0.00,
2212,30.10,269.68,F,295,296,T,F,0.00,,0.00,,0.00,
2213,81.90,715.48,F,295,363,T,F,0.00,,0.00,,0.00,
2214,85.55,669.45,F,363,80,T,F,-2.05,1999/11/08,0.00,,0.00,
2215,33.06,903.98,F,137,141,T,F,-2.43,1999/05/01,0.00,,0.00,
2216,29.16,363.55,F,282,281,T,F,0.00,,0.00,,0.00,
2217,49.90,669.04,F,282,283,T,F,0.00,,0.00,,0.00,
