"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319005268_","Store location - 0319005268_","","CS","Castello","Calle De Le Bande","5268","CS5268","Calle De Le Bande 5268","","45.4367483","12.34035093"
"0319005305_","Store location - 0319005305_","","CS","Castello","Calle Al Ponte De L'Anzolo","5305","CS5305","Calle Al Ponte De L'Anzolo 5305","","45.4361242","12.3398295"
"0319005311_","Store location - 0319005311_","","CS","Castello","Calle Al Ponte De L'Anzolo","5311","CS5311","Calle Al Ponte De L'Anzolo 5311","","45.4359738","12.3400174"
"0319005324_","Store location - 0319005324_","","CS","Castello","Calle De Casseleria","5324","CS5324","Calle De Casseleria 5324","","45.43618441","12.33981513"
"0319005409_","Store location - 0319005409_","0319005408_","CS","Castello","Salizada San Lio","5409","CS5409","Salizada San Lio 5409","Castello Salizada San Lio 5408","45.43684283","12.33978818"
"0319005410_","Store location - 0319005410_","","CS","Castello","Salizada San Lio","5410","CS5410","Salizada San Lio 5410","","45.43689046","12.33973929"
"0319005432_","Store location - 0319005432_","","CS","Castello","Calle Sant'Antonio","5432","CS5432","Calle Sant'Antonio 5432","","45.43692066","12.3393881"
"0319005433_","Store location - 0319005433_","","CS","Castello","Calle Sant'Antonio","5433","CS5433","Calle Sant'Antonio 5433","","45.43690872","12.33937385"
"0319005481_","Store location - 0319005481_","","CS","Castello","Corte Perini","5481","CS5481","Corte Perini 5481","","45.4370816","12.3390062"
"0319005483_","Store location - 0319005483_","","CS","Castello","Calle De La Malvasia","5483","CS5483","Calle De La Malvasia 5483","","45.437","12.33890566"
"0319005484_","Store location - 0319005484_","","CS","Castello","Calle De La Malvasia","5484","CS5484","Calle De La Malvasia 5484","","45.4369548","12.3389074"
"0319005608_","Store location - 0319005608_","","CS","Castello","Calle Al Ponte Sant'Antonio","5608","CS5608","Calle Al Ponte Sant'Antonio 5608","","45.43756449","12.33806522"
"0319005619A","Store location - 0319005619A","","CS","Castello","Calle Al Ponte Sant'Antonio","5619A","CS5619A","Calle Al Ponte Sant'Antonio 5619A","","45.43759887","12.33804415"
"0319005662_","Store location - 0319005662_","","CS","Castello","Salizada San Lio","5662","CS5662","Salizada San Lio 5662","","45.43741931","12.33875183"
"0319005738_","Store location - 0319005738_","","CS","Castello","Calle Del Paradiso","5738","CS5738","Calle Del Paradiso 5738","","45.43735332","12.33966597"
"0319005740_","Store location - 0319005740_","","CS","Castello","Calle Del Paradiso","5740","CS5740","Calle Del Paradiso 5740","","45.4373978","12.3397291"
"0319005751_","Store location - 0319005751_","0319005750_;0319005752_","CS","Castello","Calle Del Paradiso","5751","CS5751","Calle Del Paradiso 5751","Castello Calle Del Paradiso 5750;Castello Calle Del Paradiso 5752","45.43742249","12.33981712"
"0319005754_","Store location - 0319005754_","0319001830_","CS","Castello","Calle Del Paradiso","5754","CS5754","Calle Del Paradiso 5754","Castello Fondamentina 1830","45.43735516","12.33971628"
