"!!ID","!!IDName","!ImageUrl","Dati Generali_Data fine","Dati Generali_Data inizio","Dati Generali_Descrizione","Dati Generali_Durata","Dati Generali_Famiglia","Dati Generali_Stato","Dati Generali_Zona","Intervento_Importo lavori effettivo","Intervento_Importo lavori effettivo (dl)","Intervento_Importo lavori previsto","Intervento_Tipologia intervento","Segnalazione_Tipologia elemento","Sopralluogo_Tipologia anomalia","Sopralluogo_Tipologia elemento"
"4952","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/8255/360/220/","2009-10-12","2009-10-12","San Marco f.ta Sansovino 1324/A",,"Venezia Nord","risolto","San Marco","","",,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"4006","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/6942/360/220/","2009-08-31","2009-08-21","S.Marco, 21 - Piazzetta San Marco","10 giorni","Venezia Nord","risolto","San Marco",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"3424","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/6683/360/220/","2009-05-08","2009-05-07","SAN MARCO CALLE LARGA-MERCERIA DELL'OROLOGIO","1 giorno","Venezia Nord","risolto","San Marco",,,,"pavimentazione",,"instabilita elemento","pavimentazione stradale"
"4953","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/8101/360/220/","2009-10-14","2009-10-12","Cannaregio incrocio f.ta della Sensa con calle delle Muneghe","2 giorni","Venezia Nord","risolto","Cannaregio","","",,"pavimentazione",,"cedimento","pavimentazione stradale"
"4007","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/8316/360/220/","2009-08-31","2009-08-21","S.Croce, 398 - F.ta delle Burchielle","10 giorni","Venezia Sud","risolto","Santa Croce",,,,"muri di sponda","muri di sponda","cedimento","muro di sponda"
"19383","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/23602/360/220/","2010-09-10","2010-09-08","Castello civ 1253 cancellata vs esedra monumento Garibaldi","2 giorni","Venezia Nord","risolto","Castello",,"",,"pavimentazione","fognatura","malfunzionamento","rete nera, mista o pluviale"
"32254","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15691/360/220/","2011-10-10","2011-10-10","Castello - Calle del lavrano civ. 1479, 1481 e 1482",,"Venezia Nord 2011","risolto","Castello",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"6267","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/12063/360/220/","2010-01-22","2009-12-24","Murano calle Antonio Vivarini 3","29 giorni","Venezia Nord","risolto","Murano","","",,"fognatura - reti fognarie","fognatura","malfunzionamento","caditoia"
"32255","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15694/360/220/","2011-10-10","2011-10-10","Castello - Calle Schiavona",,"Venezia Nord 2011","risolto","Castello",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"32252","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15644/360/220/","2011-10-10","2011-10-10","Castello - Calle S.Francesco di Paola",,"Venezia Nord 2011","risolto","Castello",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"32253","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15647/360/220/","2011-10-10","2011-10-10","Castello - Calle Coltrera",,"Venezia Nord 2011","risolto","Castello",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"3442","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5957/360/220/","2009-06-05","2009-05-18","Murano - angolo Calle Moschini Fra Mauro","18 giorni","Venezia Nord","risolto","Murano",,,,"fognatura - reti fognarie","fognatura","altro","rete nera, mista o pluviale"
