"!!Job Item Id","!!Job Item Type","!Job Id","!Job Name","job_SMUs","SMUs","job_stato commessa","job_opera pubblica","job_rein","job_tipo intervento","job_direttore lavori","job_impresa","job_numero commessa","superficie","data di compilazione","fango riscontrato","zoom","data inizo lavori","casseri","costo discarica","mc scavo umido","mc scavo secco","data fine lavori","ID UTP","costo scavo umido","lunghezza","costo scavo secco","fango certificato","comunicazioni di servizio","batimetria media","Y","volume fango stimato","stato avanzamento lavori","X","fondo di progetto","note","codice UTP","data modifica","direttore lavori","data validazione","validatore"
"00001SC0096","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","460.18 m2","","NR","2234.13677951961","","assenti","0 ?","286","129","1/1/1989 1:01:00 AM","00001SC0096","0 ?","50.6 m","0 ?","NR","","161 cm","5034959.99370261","87.43 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0097","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","1400.42 m2","","NR","2234.13677951961","","assenti","0 ?","866","391","1/1/1989 1:01:00 AM","00001SC0097","0 ?","119.7 m","0 ?","NR","","108 cm","5034959.99370261","1008.3 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0098","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","157.11 m2","","NR","2234.13677951961","","assenti","0 ?","99","45","1/1/1989 1:01:00 AM","00001SC0098","0 ?","22.3 m","0 ?","NR","","111 cm","5034959.99370261","108.41 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0099","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","1114.02 m2","","NR","2234.13677951961","","assenti","0 ?","692","312","1/1/1989 1:01:00 AM","00001SC0099","0 ?","133.6 m","0 ?","NR","","159 cm","5034959.99370261","233.94 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0100","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","630.94 m2","","NR","2234.13677951961","","assenti","0 ?","557","185","1/1/1984 1:01:00 AM","00001SC0100","0 ?","99.6 m","0 ?","NR","","146 cm","5034959.99370261","214.52 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0101","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","179.74 m2","","NR","2234.13677951961","","assenti","0 ?","202","90","1/1/1986 1:01:00 AM","00001SC0101","0 ?","35.5 m","0 ?","NR","","111 cm","5034959.99370261","124.02 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0102","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","668.17 m2","","NR","2234.13677951961","","assenti","0 ?","748","334","1/1/1986 1:01:00 AM","00001SC0102","0 ?","136.4 m","0 ?","NR","","92 cm","5034959.99370261","587.99 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0103","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","1140.17 m2","","NR","2234.13677951961","","assenti","0 ?","1307","604","1/1/1985 1:01:00 AM","00001SC0103","0 ?","120.1 m","0 ?","NR","","127 cm","5034959.99370261","604.29 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0108","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","338.72 m2","","NR","2234.13677951961","","assenti","0 ?","134","0","1/1/1991 1:01:00 AM","00001SC0108","0 ?","52.5 m","0 ?","D","","117 cm","5034959.99370261","213.39 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0109","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","1636.05 m2","","NR","2234.13677951961","","assenti","0 ?","634","0","1/1/1991 1:01:00 AM","00001SC0109","0 ?","193.8 m","0 ?","D","","138 cm","5034959.99370261","687.14 m3","terminati","2311117.10729809","180 cm","",,,,,
