"!!id","!!type","zoom","ID","ID del rio","superficie (m2)","Y","X","jobs","jobItems"
"II0250","intersezioni","49.9999999996477","II0250","FELI","73","5035578.10153724","2311527.38887355","[00112, 00232]","[00112SC0004, 00112SC0005, 00112SC0007, 00112SC0015]"
"II0255","intersezioni","50.0000000004047","II0255","ANDR","34","5035567.8232978","2311689.03973554","[00112, 00232, 00448]","[00112SC0006, 00112SC0016, 00448SC0003, 00448SC0004, 00448SC0005]"
"II0260","intersezioni","49.9999999999498","II0260","GESU","173","5035561.86431851","2311913.82374036","[00232]","[]"
"II0265","intersezioni","64.2681176877111","II0265","GRAN","4","5035560.57954231","2311180.97290165","[]","[]"
"II0270","intersezioni","49.999999999948","II0270","ACQU","77","5035553.73571086","2311731.08726629","[00232, 00448, 00189]","[00448SC0005, 00189SC0009, 00189SC0010, 00189SC0017]"
"II0280","intersezioni","49.9999999996689","II0280","PRIU","29","5035542.53762898","2311570.22804247","[00112, 00232]","[00112SC0007, 00112SC0008, 00112SC0011, 00112SC0017]"
"II0285","intersezioni","56.7288998962558","II0285","GRAN","6","5035522.17112281","2310731.75945843","[]","[]"
"II0290","intersezioni","94.5684635891711","II0290","GRAN","4","5035515.30230144","2311286.39677711","[]","[]"
"II0295","intersezioni","50.0000000004331","II0295","ACQU","3","5035512.61275482","2311714.75148314","[]","[]"
"II0300","intersezioni","50.0000000001989","II0300","","72","5035510.21316585","2311898.77436922","[00232, 00189]","[00189SC0001, 00189SC0008, 00189SC0009, 00189SC0018]"
"II0310","intersezioni","49.9999999997207","II0310","PRIU","50","5035490.13660477","2311641.80532568","[00112, 00232]","[00112SC0006, 00112SC0008, 00112SC0009, 00112SC0018]"
"II0315","intersezioni","53.4218868727414","II0315","GRAN","8","5035481.02317376","2310651.8204584","[]","[]"
"II0320","intersezioni","59.9341464452746","II0320","GRAN","5","5035476.92387997","2311342.50819159","[]","[]"
"II0325","intersezioni","49.999999999901","II0325","ACQU","3","5035465.95074757","2311686.68955982","[]","[]"
"II0330","intersezioni","49.9999999998625","II0330","APOS","2","5035457.57218274","2311885.28353569","[]","[]"
"II0335","intersezioni","68.9200856722384","II0335","GRAN","4","5035453.65786556","2311361.95279681","[]","[]"
"II0340","intersezioni","49.9999999999635","II0340","DEGO","1","5035452.80299966","2310980.4246321","[]","[]"
"II0345","intersezioni","50.0000000000102","II0345","PANA","2","5035451.10329079","2312051.80792005","[]","[]"
"II0350","intersezioni","49.9999999999876","II0350","DEGO","1","5035416.26925753","2310962.9508691","[]","[]"
"II0355","intersezioni","86.2948542945018","II0355","GRAN","4","5035411.47509184","2311412.01152451","[]","[]"
"II0360","intersezioni","50.0000000002386","II0360","DEGO","1","5035407.79070982","2310968.64076834","[]","[]"
"II0365","intersezioni","50.0000000000795","II0365","APOS","96","5035404.48127669","2311873.27702371","[00232, 00189]","[00189SC0002, 00189SC0003, 00189SC0019]"
"II0370","intersezioni","50.0000000003451","II0370","MEGI","20","5035386.92428404","2311085.92690877","[232/1, 00113, 00430, 00517, 00449, 00450]","[00113SC0004, 00113SC0005]"
"II0375","intersezioni","88.2585206950623","II0375","GRAN","71","5035354.34989062","2310263.38558469","[]","[]"
"II0380","intersezioni","81.9134933513608","II0380","GRAN","7","5035329.95405616","2311502.67882456","[]","[]"
"II0385","intersezioni","50.0000000002487","II0385","APOS","1","5035321.58547594","2311776.11168648","[]","[]"
"II0390","intersezioni","50.0000000004535","II0390","MEGI","3","5035296.30980541","2311073.37614557","[]","[]"
"II0395","intersezioni","49.9999999998866","II0395","WIDM","1","5035302.20879497","2311933.25186022","[]","[]"
"II0405","intersezioni","50.0000000002897","II0405","ORIO","0","5035279.77263807","2311062.62306064","[]","[]"
"II0410","intersezioni","49.9999999999943","II0410","WIDM","56","5035274.68350979","2311932.18809647","[00157, 00232, 00180]","[00180SC0005, 00180SC0006]"
"II0415","intersezioni","50.0000000000574","II0415","BOLD","13","5035272.67385402","2311101.19892825","[232/1, 00114, 00430, 00517]","[00114SC0001, 00114SC0004, 00114SC0006]"
"II0420","intersezioni","63.0510105911679","II0420","GRAN","4","5035272.44390473","2311602.55721182","[]","[]"
"II0425","intersezioni","49.9999999997365","II0425","GRAN","15","5035267.37476171","2310449.71371143","[]","[]"
